gt_path,gt_class_id,folder,trained_by,source
./test_dataset/ts_img_001.jpg,217,231,none,231/bc_008tg_1_17.jpg
./test_dataset/ts_img_002.jpg,109,171,none,171/be_008tg_4_373.jpg
./test_dataset/ts_img_003.jpg,104,164,none,164/bc_007sg_6_191.jpg
./test_dataset/ts_img_004.jpg,310,249,cnn2,249/be_007tg_4_17.jpg
./test_dataset/ts_img_005.jpg,201,207,cnn2,207/bc_002tg_6_197.jpg
./test_dataset/ts_img_006.jpg,205,213,none,213/bl_004tg_11_71.jpg
./test_dataset/ts_img_007.jpg,301,240,cnn2,240/be_020sg_6_128.jpg
./test_dataset/ts_img_008.jpg,121,185,none,185/be_003tg_2_34.jpg
./test_dataset/ts_img_009.jpg,218,232,none,232/be_015sg_1_393.jpg
./test_dataset/ts_img_010.jpg,308,247,both,247/be_016tg_9_3.jpg
./test_dataset/ts_img_011.jpg,126,190,none,190/be_016sg_10_116.jpg
./test_dataset/ts_img_012.jpg,109,171,none,171/be_016tg_9_258.jpg
./test_dataset/ts_img_013.jpg,112,176,cnn2,176/bc_008tg_1_58.jpg
./test_dataset/ts_img_014.jpg,307,246,none,246/be_014sg_5_0.jpg
./test_dataset/ts_img_015.jpg,110,173,none,173/be_014tg_4_27.jpg
./test_dataset/ts_img_016.jpg,123,187,none,187/bl_007tg_8_440.jpg
./test_dataset/ts_img_017.jpg,310,249,fourth,249/be_007sg_3_28.jpg
./test_dataset/ts_img_018.jpg,207,215,cnn2,215/bc_002tg_10_122.jpg
./test_dataset/ts_img_019.jpg,129,193,none,193/be_019sg_5_210.jpg
./test_dataset/ts_img_020.jpg,105,167,none,167/bc_015sg_5_202.jpg
./test_dataset/ts_img_021.jpg,206,214,both,214/bc_012sg_2_286.jpg
./test_dataset/ts_img_022.jpg,117,181,none,181/bc_006sg_3_204.jpg
./test_dataset/ts_img_023.jpg,201,207,cnn2,207/be_019sg_3_229.jpg
./test_dataset/ts_img_024.jpg,302,241,cnn2,241/be_008tg_7_290.jpg
./test_dataset/ts_img_025.jpg,141,206,both,206/be_011sg_5_218.jpg
./test_dataset/ts_img_026.jpg,212,226,none,226/be_007sg_4_259.jpg
./test_dataset/ts_img_027.jpg,141,206,both,206/be_007sg_6_269.jpg
./test_dataset/ts_img_028.jpg,133,197,none,197/be_014sg_4_82.jpg
./test_dataset/ts_img_029.jpg,104,164,none,164/be_013tg_5_26.jpg
./test_dataset/ts_img_030.jpg,106,168,none,168/bc_014tg_6_10.jpg
./test_dataset/ts_img_031.jpg,136,201,none,201/be_017sg_6_249.jpg
./test_dataset/ts_img_032.jpg,107,169,none,169/be_009tg_2_199.jpg
./test_dataset/ts_img_033.jpg,107,169,none,169/be_018sg_6_399.jpg
./test_dataset/ts_img_034.jpg,304,243,fourth,243/be_014sg_5_1.jpg
./test_dataset/ts_img_035.jpg,108,170,none,170/be_006tg_8_148.jpg
./test_dataset/ts_img_036.jpg,112,176,cnn2,176/be_002sg_9_150.jpg
./test_dataset/ts_img_037.jpg,219,233,none,233/bc_018sg_2_27.jpg
./test_dataset/ts_img_038.jpg,119,183,none,183/be_018sg_9_293.jpg
./test_dataset/ts_img_039.jpg,141,206,none,206/bl_002tg_3_2.jpg
./test_dataset/ts_img_040.jpg,117,181,none,181/be_007tg_7_175.jpg
./test_dataset/ts_img_041.jpg,308,247,both,247/be_015sg_4_0.jpg
./test_dataset/ts_img_042.jpg,106,168,none,168/be_014sg_4_171.jpg
./test_dataset/ts_img_043.jpg,139,204,both,204/bc_006tg_6_372.jpg
./test_dataset/ts_img_044.jpg,117,181,none,181/bc_011tg_5_3.jpg
./test_dataset/ts_img_045.jpg,217,231,cnn2,231/bc_009tg_2_161.jpg
./test_dataset/ts_img_046.jpg,101,161,none,161/bc_008sg_11_302.jpg
./test_dataset/ts_img_047.jpg,208,216,none,216/bc_007tg_6_262.jpg
