class_id,folder,char,n,cnn2_correct,fourth_correct,fourth_nofont_correct,cnn2_acc%,fourth_acc%,fourth_nofont_acc%
101,161,ก,82,82,82,82,100.0,100.0,100.0
102,162,ข,50,49,50,49,98.0,100.0,98.0
104,164,ค,68,66,67,67,97.1,98.5,98.5
105,167,ง,49,49,49,49,100.0,100.0,100.0
106,168,จ,50,50,50,50,100.0,100.0,100.0
107,169,ฉ,3,3,3,3,100.0,100.0,100.0
108,170,ช,40,39,40,40,97.5,100.0,100.0
109,171,ซ,10,10,10,10,100.0,100.0,100.0
110,173,ญ,4,4,4,4,100.0,100.0,100.0
111,175,ฏ,2,2,2,2,100.0,100.0,100.0
112,176,ฐ,4,4,4,4,100.0,100.0,100.0
114,178,ฒ,3,3,3,3,100.0,100.0,100.0
115,179,ณ,8,8,8,8,100.0,100.0,100.0
116,180,ด,81,80,80,80,98.8,98.8,98.8
117,181,ต,69,69,68,68,100.0,98.6,98.6
118,182,ถ,17,17,17,17,100.0,100.0,100.0
119,183,ท,65,62,63,63,95.4,96.9,96.9
120,184,ธ,2,1,2,2,50.0,100.0,100.0
121,185,น,193,192,193,193,99.5,100.0,100.0
122,186,บ,89,88,88,88,98.9,98.9,98.9
123,187,ป,45,45,45,45,100.0,100.0,100.0
124,188,ผ,13,13,13,13,100.0,100.0,100.0
125,189,ฝ,1,1,1,1,100.0,100.0,100.0
126,190,พ,28,28,28,28,100.0,100.0,100.0
127,191,ฟ,6,6,6,6,100.0,100.0,100.0
128,192,ภ,9,9,9,9,100.0,100.0,100.0
129,193,ม,138,138,138,138,100.0,100.0,100.0
130,194,ย,85,85,85,85,100.0,100.0,100.0
131,195,ร,201,200,200,200,99.5,99.5,99.5
133,197,ล,89,88,88,88,98.9,98.9,98.9
134,199,ว,68,66,66,67,97.1,97.1,98.5
135,200,ศ,3,3,3,3,100.0,100.0,100.0
136,201,ษ,12,12,12,12,100.0,100.0,100.0
137,202,ส,55,55,55,55,100.0,100.0,100.0
138,203,ห,68,68,68,68,100.0,100.0,100.0
140,205,อ,142,141,141,141,99.3,99.3,99.3
141,206,ฮ,1,1,1,1,100.0,100.0,100.0
201,207,ฯ,1,1,1,1,100.0,100.0,100.0
202,209,ั,148,147,147,147,99.3,99.3,99.3
203,210,า,197,160,173,166,81.2,87.8,84.3
204,212,ิ,1,1,1,1,100.0,100.0,100.0
205,213,ี,4,4,4,4,100.0,100.0,100.0
206,214,ึ,1,1,1,1,100.0,100.0,100.0
207,215,ื,2,2,2,2,100.0,100.0,100.0
208,216,ุ,9,9,9,9,100.0,100.0,100.0
209,217,ู,3,3,3,3,100.0,100.0,100.0
210,224,เ,7,7,7,7,100.0,100.0,100.0
212,226,โ,31,31,31,31,100.0,100.0,100.0
213,227,ใ,39,39,39,39,100.0,100.0,100.0
214,228,ไ,27,27,27,27,100.0,100.0,100.0
215,229,ๅ,80,59,48,64,73.8,60.0,80.0
216,230,ๆ,4,4,4,4,100.0,100.0,100.0
217,231,็,6,6,6,6,100.0,100.0,100.0
218,232,่,17,17,17,17,100.0,100.0,100.0
219,233,้,37,35,37,37,94.6,100.0,100.0
220,234,๊,4,4,4,4,100.0,100.0,100.0
221,236,์,25,25,25,25,100.0,100.0,100.0
301,240,๐,4,4,4,4,100.0,100.0,100.0
302,241,๑,2,2,2,2,100.0,100.0,100.0
303,242,๒,3,3,3,3,100.0,100.0,100.0
305,244,๔,1,1,1,1,100.0,100.0,100.0
306,245,๕,1,1,1,1,100.0,100.0,100.0
307,246,๖,2,2,2,2,100.0,100.0,100.0
